fecha;nro_pliego ;nro_orden_de_compra ;unidad_ejecutora;jurisdiccion;proveedor;cuit;importe;descripcion;cantidad;descripcion_rubro
2020-01-06 00:00:00;417-1211-CME20;417-5817-OC20;417 - HTAL. PEDRO DE ELIZALDE;MINISTERIO DE SALUD;DROGUERIA MARTORANI S.A.;30-70296606-6;11128.5;CANULA PARA TRAQUEOSTOMIA SIN BALON b) Un repuesto de cánula interior de 5 mm de diámetro interno. c) Una válvula de una vía con adaptador para Luer y Luer-Lock, y obturador, d) Un collarín de fijación, e) Un tirante elástico de 44 cm de largo. Estéril, atóxico y apirogénico. Envasado individualmente en envase que garantice su conservación. Medida: De 5 mm Modelo: De 5 mm de diámetro interno de cánula. De PVC siliconado, apto para uso medicinal, con propiedades termoplásticas para su mejor adaptación. Constituida por: a) Un conjunto de cánula exterior y cánula interior de 5 mm de diámetro interno Variedad: Sin balón;15;Salud
2020-01-06 00:00:00;421-3460-CME19;421-5767-OC20;421 - HTAL. PEDRO LAGLEYZE;MINISTERIO DE SALUD;RAUL JORGE LEON POGGI;20-08336759-9;25800;TUBO CON MEDIO DE TRANSPORTE E HISOPO Modelo: De plástico rígido, estéril conteniendo medio de transporte e hisopo estéril Variedad: Con medio de transporte e hisopo estéril;300;Salud
2020-01-06 00:00:00;439-0897-CME20;439-5824-OC20;439 - HTAL. BONORINO UDAONDO;MINISTERIO DE SALUD;TECNOLAB S.A.;30-63897599-4;47871;ANTISUERO ANTI ALFA 1 ANTITRIPSINA HUMANA Modelo: . Variedad: Anti Alfa 1 Antitripsina Humana;2;Salud
2020-01-06 00:00:00;439-0897-CME20;439-5825-OC20;439 - HTAL. BONORINO UDAONDO;MINISTERIO DE SALUD;BIODIAGNOSTICO S.A.;30-63927711-5;194880;EQUIPO PARA REACCION EN CADENA DE LA POLIMERASA (PCR) EN TIEMPO REAL Modelo: PCR con oligonucleótidos marcados, completo con accesorios;3;Salud
2020-01-06 00:00:00;410-0571-LPU20;410-5743-OC20;410 - HTAL.TEODORO ALVAREZ  ;MINISTERIO DE SALUD;EGLIS S.A;30-59401076-7;12100;BOLSA PARA TRANSPORTE DE MUESTRAS BIOLOGICAS . Modelo: De polipropileno virgen,no tóxico.Con doble compartimiento  para la muestra y el protocolo de trabajo,con solapa de cierre definitivo. ;2000;Salud
2020-01-06 00:00:00;422-0575-LPU20;422-5795-OC20;422 - HTAL. BRAULIO MOYANO  ;MINISTERIO DE SALUD;EGLIS S.A;30-59401076-7;6050;BOLSA PARA TRANSPORTE DE MUESTRAS BIOLOGICAS . Modelo: De polipropileno virgen,no tóxico.Con doble compartimiento  para la muestra y el protocolo de trabajo,con solapa de cierre definitivo. ;1000;Salud
2020-01-06 00:00:00;410-0571-LPU20;410-5747-OC20;410 - HTAL.TEODORO ALVAREZ  ;MINISTERIO DE SALUD;Laboratorios Britania SA;33-64529398-9;102000;HISOPO    Modelo: De plástico y dacron en tubo estéril descartable,  en envase individual ;3000;Salud
2020-01-06 00:00:00;401-0590-CDI20;401-5846-OC20;401 - MINISTERIO DE SALUD;MINISTERIO DE SALUD;CINMOR SRL;30-71400415-4;4364400;CAMISOLIN DE UN SOLO USO TELA: SMS uso Médico, Barrera de 47 g/m2 (+/- 5%)  Delantero y mangas dobles con el refuerzo interno total de spundbond 40/50 g/m2, de una sóla pieza.  Espalda: Retroespaldero obligatorio. Con 4 pares de tiras que producen el cruce adecuado con técnica aséptica, dos pares para el cruce del cuello y los otros dos pares a 44 cm del borde del escote, para el cruce de la cintura.   Cuello: escote redondo, fileteado con la misma tela.   Ubicación de tirillas:    -Ajuste de cuello: Dos pares de tiras para ajuste que produzcan un cruce no menor de 10 cm. Sobre el lado derecho, una en el borde y la otra a 10 cm cara interna y sobre el lado izquierdo, una en el borde y la otra a 10 cm cara externa. Medida de tiras: 20 cm de largo aproximadamente cada una, ancho de 1,5 cm.   -Ajuste de cintura: dos pares de tiras a 44 cm del borde del escote, para producir el cruce adecuado, una sobre el borde del espaldero derecho y la otra en la costura lateral cara interna y el otro par, una en el borde del espaldero izquierdo, y la otra en el delantero, a 10 cm de la costura lateral izquierda. Medida de tiras: Largo: 45 cm (+/- 10%) cada una. Ancho: 3 cm (+/- 10%)  Manga larga , con puño doble de algodón 100% (RIBB), elastizado, de 10 cm de largo.   La sisa tendrá una profundidad mínima de 28 cm.  Llevará una tarjeta de transferencia de las cintas para ajuste del camisolín.   Costuras doble estanco.  Medidas mínimas: largo total 130 cm, ancho: 150 cm y largo de manga: 75 cm  Terminación y presentación:  1) Deberá tener una cuidadosa revisación, sin excedente de hilos, costuras rotas, zafadas, sin frunces ni dobleces.  2) Se entregará con doblado quirúrgico en bolsa de polietileno hermética, transparente e impermeable con no mas de 10 unidades, correctamente acondicionado y rotulado indicando nombre del fabricante.   Modelo: Para cirugía de tela no tejida de SMS uso médico. No estéril. Variedad: Para cirugía ;20000;Salud
2020-01-06 00:00:00;401-0590-CDI20;401-5846-OC20;401 - MINISTERIO DE SALUD;MINISTERIO DE SALUD;CINMOR SRL;30-71400415-4;1721600;CAMISOLIN DE UN SOLO USO TELA: SMS uso Médico, Barrera de 47 g/m2 (+/- 5%)  Delantero y mangas dobles con el refuerzo interno total de spundbond 40/50 g/m2, de una sóla pieza.  Espalda: Retroespaldero obligatorio. Con 4 pares de tiras que producen el cruce adecuado con técnica aséptica, dos pares para el cruce del cuello y los otros dos pares a 44 cm del borde del escote, para el cruce de la cintura.   Cuello: escote redondo, fileteado con la misma tela.   Ubicación de tirillas:    -Ajuste de cuello: Dos pares de tiras para ajuste que produzcan un cruce no menor de 10 cm. Sobre el lado derecho, una en el borde y la otra a 10 cm cara interna y sobre el lado izquierdo, una en el borde y la otra a 10 cm cara externa. Medida de tiras: 20 cm de largo aproximadamente cada una, ancho de 1,5 cm.   -Ajuste de cintura: dos pares de tiras a 44 cm del borde del escote, para producir el cruce adecuado, una sobre el borde del espaldero derecho y la otra en la costura lateral cara interna y el otro par, una en el borde del espaldero izquierdo, y la otra en el delantero, a 10 cm de la costura lateral izquierda. Medida de tiras: Largo: 45 cm (+/- 10%) cada una. Ancho: 3 cm (+/- 10%)  Manga larga , con puño doble de algodón 100% (RIBB), elastizado, de 10 cm de largo.   La sisa tendrá una profundidad mínima de 28 cm.  Llevará una tarjeta de transferencia de las cintas para ajuste del camisolín.   Costuras doble estanco.  Medidas mínimas: largo total 130 cm, ancho: 150 cm y largo de manga: 75 cm  Terminación y presentación:  1) Deberá tener una cuidadosa revisación, sin excedente de hilos, costuras rotas, zafadas, sin frunces ni dobleces.  2) Se entregará con doblado quirúrgico en bolsa de polietileno hermética, transparente e impermeable con no mas de 10 unidades, correctamente acondicionado y rotulado indicando nombre del fabricante.   Modelo: Para cirugía de tela no tejida de SMS uso médico. No estéril. Variedad: Para cirugía ;5000;Salud
2020-01-06 00:00:00;401-0590-CDI20;401-5845-OC20;401 - MINISTERIO DE SALUD;MINISTERIO DE SALUD;PROPATO HNOS. S.A.I.C.;30-55425869-3;1482855;ANTIPARRA DE SEGURIDAD BIOLOGICA . Modelo: Para protección ocular ante riesgo de impactos, salpicaduras químicas y partículas de polvo, de acetato, transparente con protección UV. Resistente al empañamiento, con ventilación indirecta Variedad: Biológica ;1900;Seguridad 
2020-01-06 00:00:00;623-1394-LPU18;7162-5727-OC20;7162 - MINISTERIO DE ESPACIO PUBLICO E HIGIENE URBANA;MINISTERIO DE ESPACIO PUBLICO E HIGIENE URBANA;Servicios para la Higiene S.A ;30-71158542-3;144814.5;AGUA LAVANDINA (HIPOCLORITO DE SODIO) Líquido amarillento, que puede contener un ligero sedimento, utilizando en el blanqueo y desinfección de ropas y demás materiales de uso doméstico.     Tendrá un  contenido mínimo entre 55 g/l y 80 g/l de cloro activo y los demás componentes de acuerdo a las exigencias de la Norma IRAM Nº 41.173 parte I, II, III, IV, V y VI.    En envase plástico de polietileno virgen  de alta densidad, de color u opacidad tal que no permita el paso de la luz. Su cierre hermético de seguridad no presentará pérdidas durante su manipuleo  y/o estiba. Espesor mínimo del envase 500 µ.    Nota: no es conveniente efectuar los pedidos excesivamente grandes,  debido a la pérdida de cloro activo. Los mismos deberán realizarse calculando su consumo dentro de los 120 días aproximadamente. El almacenaje será en lo posible en lugar oscuro.    El ACONDICIONAMIENTO Y CAPACIDAD DE LOS ENVASES QUEDARA A CARGO DE LA REPARTICIÓN USUARIA.   Modelo: Tipo I, con un contenido mínimo entre 55 g/l y 80 g/l de cloro activo Presentacion: Envase plástico de polietileno virgen de alta densidad (espesor mínimo 500 µ.), color/opacidad que no permita el paso de la luz, cierre hermético de seguridad, sin pérdidas por manipuleo y/o estiba Tipo: I ;459;Perfumería, Limpieza y Contenedores Comerciales e Industriales
2020-01-06 00:00:00;623-0888-LPU19;426-5815-OC20;426 - HTAL. PARMENIO PIÑERO ;MINISTERIO DE SALUD;ALBERTO Y VICENTE S.R.L.;30-55745701-8;81550;AMBO DE USO ASISTENCIAL REUSABLE TELA: algodón 100% preencogido    Ligadura: Tafetán Peso: 200 g/m2 +/-5%  Resistencia urdimbre 30 kg/cm  Resistencia trama 25 kg/cm  Hilos urdimbre 30 +/-20%  Hilos trama 18 +/-30%  Hilos totales 48 +/-5%  CASACA  1) Delantero: liso 1 bolsillo pecho plaqué, lado izq, 2 bolsillos plaqué inf, faldón recto, dobladillo int 3 cm.   2) Espalda: lisa, costura centro y/o entera. Faldón recto, dobladillo int 3 cm.   3) Mangas: japonesa, dobladillo int 3 cm  4) Cuello: Escote V, int refuerzo misma tela. Ancho refuerzo 4 cm.   5) Bolsillos: Sup. plaqué, vista int 3 cm. Abertura 13 cm. Prof  15 cm. inf plaqué vista int 3 cm. Abertura 17 cm. Prof 19 cm.  6) Costuras: cerrado frente con espalda, hombros, cerrado ½ espalda, máquina overlock puntada seguridad. Bolsillos 2 costuras simple pespunte bordes expuestos: sobrehilados. Resto operaciones, 1 costura simple.  7) Remate costuras y/o atraques: las aberturas de bolsillos.  8) Hilos: 50/2 cabos algodón 100% mercerizado al tono de la tela, puntadas/ cm 3,5 color firme lavado  9) Medidas: 1/2 cuerpo  Contorno: 56 cm, Distancia entre vistas mangas: 82 cm, largo: 68 cm  PANTALON  1) Delantero: liso, bota dobladillo int 3 cm.   2) Trasero: liso, bolsillo plaqué lado derecho. Bota dobladillo 3 cm.   3) Cintura: elástico no menos 2,5 cm ancho, en dobladillo 2 pespuntes.   4) Bolsillos: Plaqué, vista int 3 cm. Abertura: 13 cm. Profundidad: 15 cm.  5) Costuras: Cerrado lateral, entrepierna y trasero: máquina overlock, puntada seguridad. Resto operaciones, 1 costura simple.  6) Remates costuras y/o atraques: la abertura de bolsillo.  7) Medidas: ½ cuerpo  Cintura: 50 cm, largo tiro delantero terminado: 28 cm, largo: 105 cm  Terminación, presentación:  1) sin excedente hilos, costuras rotas, zafadas, frunces, dobleces, planchadas, dobladas.  2) en bolsa de polietileno individual, hermética, transparente, impermeable, marca o nombre fabricante, N° talle.  3) etiqueta con marca o nombre fabricante, N° talle, recomendaciones lavado, planchado   Modelo: De algodón. Talle Chico. Casaca escote en V, manga japonesa. ;70;Salud
2020-01-06 00:00:00;401-0590-CDI20;401-5845-OC20;401 - MINISTERIO DE SALUD;MINISTERIO DE SALUD;PROPATO HNOS. S.A.I.C.;30-55425869-3;1482855;ANTIPARRA DE SEGURIDAD BIOLOGICA . Modelo: Para protección ocular ante riesgo de impactos, salpicaduras químicas y partículas de polvo, de acetato, transparente con protección UV. Resistente al empañamiento, con ventilación indirecta Variedad: Biológica ;1900;Seguridad 
2020-01-06 00:00:00;417-1176-CME20;417-5816-OC20;417 - HTAL. PEDRO DE ELIZALDE  ;MINISTERIO DE SALUD;ALPHA MEDICAL GROUP S.R.L.;30-71187832-3;9594;BUDESONIDA + FORMOTEROL . Modelo: De 160 µg de Budesonida + 4,5 µg de Formoterol (fumarato dihidratado), plovo para inhalar, frasco aerosol x 120 dosis Presentacion: Frasco aerosol x 120 dosis ;3;Salud
2020-01-06 00:00:00;401-0590-CDI20;401-5846-OC20;401 - MINISTERIO DE SALUD;MINISTERIO DE SALUD;CINMOR SRL;30-71400415-4;4364400;CAMISOLIN DE UN SOLO USO TELA: SMS uso Médico, Barrera de 47 g/m2 (+/- 5%)  Delantero y mangas dobles con el refuerzo interno total de spundbond 40/50 g/m2, de una sóla pieza.  Espalda: Retroespaldero obligatorio. Con 4 pares de tiras que producen el cruce adecuado con técnica aséptica, dos pares para el cruce del cuello y los otros dos pares a 44 cm del borde del escote, para el cruce de la cintura.   Cuello: escote redondo, fileteado con la misma tela.   Ubicación de tirillas:    -Ajuste de cuello: Dos pares de tiras para ajuste que produzcan un cruce no menor de 10 cm. Sobre el lado derecho, una en el borde y la otra a 10 cm cara interna y sobre el lado izquierdo, una en el borde y la otra a 10 cm cara externa. Medida de tiras: 20 cm de largo aproximadamente cada una, ancho de 1,5 cm.   -Ajuste de cintura: dos pares de tiras a 44 cm del borde del escote, para producir el cruce adecuado, una sobre el borde del espaldero derecho y la otra en la costura lateral cara interna y el otro par, una en el borde del espaldero izquierdo, y la otra en el delantero, a 10 cm de la costura lateral izquierda. Medida de tiras: Largo: 45 cm (+/- 10%) cada una. Ancho: 3 cm (+/- 10%)  Manga larga , con puño doble de algodón 100% (RIBB), elastizado, de 10 cm de largo.   La sisa tendrá una profundidad mínima de 28 cm.  Llevará una tarjeta de transferencia de las cintas para ajuste del camisolín.   Costuras doble estanco.  Medidas mínimas: largo total 130 cm, ancho: 150 cm y largo de manga: 75 cm  Terminación y presentación:  1) Deberá tener una cuidadosa revisación, sin excedente de hilos, costuras rotas, zafadas, sin frunces ni dobleces.  2) Se entregará con doblado quirúrgico en bolsa de polietileno hermética, transparente e impermeable con no mas de 10 unidades, correctamente acondicionado y rotulado indicando nombre del fabricante.   Modelo: Para cirugía de tela no tejida de SMS uso médico. No estéril. Variedad: Para cirugía ;20000;Salud
2020-01-06 00:00:00;401-0590-CDI20;401-5846-OC20;401 - MINISTERIO DE SALUD;MINISTERIO DE SALUD;CINMOR SRL;30-71400415-4;1721600;CAMISOLIN DE UN SOLO USO TELA: SMS uso Médico, Barrera de 47 g/m2 (+/- 5%)  Delantero y mangas dobles con el refuerzo interno total de spundbond 40/50 g/m2, de una sóla pieza.  Espalda: Retroespaldero obligatorio. Con 4 pares de tiras que producen el cruce adecuado con técnica aséptica, dos pares para el cruce del cuello y los otros dos pares a 44 cm del borde del escote, para el cruce de la cintura.   Cuello: escote redondo, fileteado con la misma tela.   Ubicación de tirillas:    -Ajuste de cuello: Dos pares de tiras para ajuste que produzcan un cruce no menor de 10 cm. Sobre el lado derecho, una en el borde y la otra a 10 cm cara interna y sobre el lado izquierdo, una en el borde y la otra a 10 cm cara externa. Medida de tiras: 20 cm de largo aproximadamente cada una, ancho de 1,5 cm.   -Ajuste de cintura: dos pares de tiras a 44 cm del borde del escote, para producir el cruce adecuado, una sobre el borde del espaldero derecho y la otra en la costura lateral cara interna y el otro par, una en el borde del espaldero izquierdo, y la otra en el delantero, a 10 cm de la costura lateral izquierda. Medida de tiras: Largo: 45 cm (+/- 10%) cada una. Ancho: 3 cm (+/- 10%)  Manga larga , con puño doble de algodón 100% (RIBB), elastizado, de 10 cm de largo.   La sisa tendrá una profundidad mínima de 28 cm.  Llevará una tarjeta de transferencia de las cintas para ajuste del camisolín.   Costuras doble estanco.  Medidas mínimas: largo total 130 cm, ancho: 150 cm y largo de manga: 75 cm  Terminación y presentación:  1) Deberá tener una cuidadosa revisación, sin excedente de hilos, costuras rotas, zafadas, sin frunces ni dobleces.  2) Se entregará con doblado quirúrgico en bolsa de polietileno hermética, transparente e impermeable con no mas de 10 unidades, correctamente acondicionado y rotulado indicando nombre del fabricante.   Modelo: Para cirugía de tela no tejida de SMS uso médico. No estéril. Variedad: Para cirugía ;5000;Salud
2020-01-06 00:00:00;410-0571-LPU20;410-5747-OC20;410 - HTAL.TEODORO ALVAREZ  ;MINISTERIO DE SALUD;Laboratorios Britania SA;33-64529398-9;102000;HISOPO    Modelo: De plástico y dacron en tubo estéril descartable,  en envase individual ;3000;Salud
2020-01-06 00:00:00;420-0644-CDI20;420-5813-OC20;420 - HTAL. RICARDO GUTIERREZ  ;MINISTERIO DE SALUD;MEDIPACK S.A.;30-70816309-7;210000;PARACETAMOL . Modelo: Al 2,4 %, jarabe, en frasco x 120 ml ;2000;Salud
2020-01-07 00:00:00;419-0796-CDI20;419-6888-OC20;419 - HTAL. MARIA FERRER ;MINISTERIO DE SALUD;STORING INSUMOS MEDICOS S.R.L.;30-70887571-2;470814;FILTRO BACTERIANO Y HUMIFICADOR . Modelo: Con 31 grados de humedad inspirado en 24 horas ;600;Salud
2020-01-07 00:00:00;401-0870-CDI20;401-6911-OC20;401 - MINISTERIO DE SALUD;MINISTERIO DE SALUD;ROFINA S.A.I.C.F.;30-53847485-8;2064000;LANCETA PARA EXTRACCION DE SANGRE . Modelo: Para punción digital, elaborada en acero inoxidable, apto uso medicinal, con punta afilada, sin rebabas, estéril, atóxica y apirogénica, descartable, envasada individualmente en envase que garantice su conservación ;600000;Salud
2020-01-07 00:00:00;432-1388-CME20;432-6878-OC20;432 - HTAL. MANUEL ROCCA ;MINISTERIO DE SALUD;CUSPIDE SRL;30-66169729-2;14456.65;PCR LATEX . Modelo: . ;5;Salud
2020-01-07 00:00:00;410-0833-CDI20;410-6840-OC20;410 - HTAL.TEODORO ALVAREZ  ;MINISTERIO DE SALUD;DROGUERIA MARTORANI S.A.;30-70296606-6;17630;TENSIOMETRO ANEROIDE PARA PARED . Modelo: Para toma de presión arterial, con cápsula de widia, con brazalete neumático con ajuste por cinta abrojo y pera de goma, con prolongador, calibrado, con soporte para fijación a pared Variedad: Para pared ;10;Salud
2020-01-07 00:00:00;419-0796-CDI20;419-6888-OC20;419 - HTAL. MARIA FERRER ;MINISTERIO DE SALUD;STORING INSUMOS MEDICOS S.R.L.;30-70887571-2;470814;FILTRO BACTERIANO Y HUMIFICADOR . Modelo: Con 31 grados de humedad inspirado en 24 horas ;600;Salud
2020-01-07 00:00:00;410-0833-CDI20;410-6840-OC20;410 - HTAL.TEODORO ALVAREZ  ;MINISTERIO DE SALUD;DROGUERIA MARTORANI S.A.;30-70296606-6;17630;TENSIOMETRO ANEROIDE PARA PARED . Modelo: Para toma de presión arterial, con cápsula de widia, con brazalete neumático con ajuste por cinta abrojo y pera de goma, con prolongador, calibrado, con soporte para fijación a pared Variedad: Para pared ;10;Salud
2020-01-08 00:00:00;416-0580-LPU20;416-8060-OC20;416 - HTAL. CARLOS G. DURAND;MINISTERIO DE SALUD;DROGUERIA MARTORANI S.A.;30-70296606-6;125832;SISTEMA CERRADO PARA ASPIRACION Y VENTILACION En uno de sus extremo poseerá conector a tubo endotraqueal y en el otro conección a frasco lavador con interruptor manual. Estéril y atóxico. Envasado individualmente en envase que garantice su conservación.   Modelo: De 14 Fr (French). Tipo Trach Care. De PVC apto para uso medicinal. Constituido por una tubuladura recubierta en polietileno de 30 a 40 micrones. ;140;Salud
2020-01-09 00:00:00;416-1862-CME20;416-9175-OC20;416 - HTAL. CARLOS G. DURAND;MINISTERIO DE SALUD;CIENTIFICA PARQUE CENTENARIO S.R.L.;30-61058242-3;56000;OXIMETRO DE PULSO - SATUROMETRO - PULSIOXIMETRO . Modelo: Digital, no invasivo, para uso neonatal, pediatrico o adulto, Con cable sensor reutilizable para dichos usos: para control de saturacion de oxigeno SpO2 (RANGO 0 100%) y control de FC (RANGO de 30 a 250 Ipm como minimo).Pantalla con vision digital de SpO2 y FC. Barra analógica de intensidad de pulso. Display de onda pletismogafica. Completo con accesorios Variedad: Saturómetro, pulsioxiometro, digital, no invasivo ;20;Salud
2020-01-12 00:00:00;434-1422-CME20;434-12666-OC20;434 - HTAL.DONACION FRANCISCO SANTOJANNI;MINISTERIO DE SALUD;CEGENS S.A.;30-71250912-7;30760;BRAZALETE NEUMATICO PARA TENSIOMETRO - MANGUITO NEUMATICO . Modelo: Para medición de presión arterial no invasiva (PANI). Para equipo multiparamétrico de mesa de anestesia ;4;Salud
2020-01-12 00:00:00;434-1422-CME20;434-12665-OC20;434 - HTAL.DONACION FRANCISCO SANTOJANNI;MINISTERIO DE SALUD;Medibel SA;33-69039665-9;19560;CABLE ARMADO - CABLE EXTENSION PARA SENSOR DE OXIMETRIA . Modelo: Para equipo para anestesia marca DRAGER, modelo FABIUS, para sensor tipo broche de dedo Variedad: Cable extensión para sensor de oximetría ;4;Salud
2020-01-12 00:00:00;434-1422-CME20;434-12665-OC20;434 - HTAL.DONACION FRANCISCO SANTOJANNI;MINISTERIO DE SALUD;Medibel SA;33-69039665-9;16380;CABLE ARMADO - CABLE SENSOR DE TEMPERATURA DE PACIENTE . Modelo: Para equipo marca DRAGER, para adulto, de 1,5 m de longitud aproximadamente, conector 7 pines ;4;Salud
2020-01-12 00:00:00;434-1422-CME20;434-12666-OC20;434 - HTAL.DONACION FRANCISCO SANTOJANNI;MINISTERIO DE SALUD;CEGENS S.A.;30-71250912-7;16840;SENSOR PARA OXIMETRIA DE PULSO . . Modelo: Adulto, rehusable ;4;Salud
2020-01-12 00:00:00;412-2426-CME20;412-12671-OC20;412 - HTAL. COSME ARGERICH  ;MINISTERIO DE SALUD;KARL STORZ ENDOSCOPIA ARGENTINA S.A.;30-67820498-2;198000;SERVICIO DE REPARACION INTEGRAL DE NEUMOINSUFLADOR    Marca: Storz Modelo: Marca STORZ, modelo Thermoflator, el servicio incluye mano de obra e insumos para su correcto funcionamiento Variedad: Neumoinsuflador ;1;Salud
